s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.8341429E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7388319E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8897142E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6929958E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9452858E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1603284E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0008571E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8762252E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0564286E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0830747E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1119999E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3893704E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1675715E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3422865E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2231428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5503965E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2787141E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0791104E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3342857E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6786754E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3898570E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2048640E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4454286E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7130242E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5009999E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9647450E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5565714E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8756658E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6121428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7857256E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6677143E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3000929E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7232856E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9210666E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7788572E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9920136E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8344285E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3292772E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8900001E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2751680E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9455714E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4008374E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
