,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-06T13:37:31.154+01:00,   0.185E-04,   0.00002,   0.12500
      2,2020-11-06T13:37:31.162+01:00,   0.204E-04,   0.00004,   0.18750
      3,2020-11-06T13:37:31.171+01:00,   0.224E-04,   0.00006,   0.18750
      4,2020-11-06T13:37:31.175+01:00,   0.247E-04,   0.00009,   0.25000
      5,2020-11-06T13:37:31.178+01:00,   0.271E-04,   0.00011,   0.25000
      6,2020-11-06T13:37:31.184+01:00,   0.299E-04,   0.00014,   0.25000
      7,2020-11-06T13:37:31.189+01:00,   0.329E-04,   0.00018,   0.25000
      8,2020-11-06T13:37:31.199+01:00,   0.361E-04,   0.00021,   0.31250
      9,2020-11-06T13:37:31.203+01:00,   0.397E-04,   0.00025,   0.31250
     10,2020-11-06T13:37:31.206+01:00,   0.437E-04,   0.00030,   0.31250
     20,2020-11-06T13:37:31.234+01:00,   0.113E-03,   0.00106,   0.43750
     30,2020-11-06T13:37:31.289+01:00,   0.183E-03,   0.00274,   0.68750
     40,2020-11-06T13:37:31.324+01:00,   0.183E-03,   0.00456,   0.81250
     50,2020-11-06T13:37:31.353+01:00,   0.183E-03,   0.00639,   0.93750
     60,2020-11-06T13:37:31.407+01:00,   0.183E-03,   0.00822,   1.12500
     70,2020-11-06T13:37:31.432+01:00,   0.183E-03,   0.01004,   1.25000
     80,2020-11-06T13:37:31.471+01:00,   0.183E-03,   0.01187,   1.37500
     90,2020-11-06T13:37:31.520+01:00,   0.183E-03,   0.01370,   1.59375
    100,2020-11-06T13:37:31.571+01:00,   0.183E-03,   0.01552,   1.76562
    200,2020-11-06T13:37:31.852+01:00,   0.183E-03,   0.03379,   2.89062
    300,2020-11-06T13:37:32.128+01:00,   0.183E-03,   0.05205,   3.95312
    400,2020-11-06T13:37:32.397+01:00,   0.183E-03,   0.07032,   5.07812
    500,2020-11-06T13:37:32.711+01:00,   0.183E-03,   0.08858,   6.20312
    600,2020-11-06T13:37:33.008+01:00,   0.183E-03,   0.10685,   7.37500
    700,2020-11-06T13:37:33.308+01:00,   0.163E-03,   0.12321,   8.56250
    800,2020-11-06T13:37:33.625+01:00,   0.163E-03,   0.13955,   9.81250
    900,2020-11-06T13:37:33.963+01:00,   0.163E-03,   0.15589,  11.15625
   1000,2020-11-06T13:37:34.282+01:00,   0.163E-03,   0.17223,  12.37500
   1100,2020-11-06T13:37:34.652+01:00,   0.163E-03,   0.18858,  13.85938
   1200,2020-11-06T13:37:35.010+01:00,   0.146E-03,   0.20321,  15.29688
   1300,2020-11-06T13:37:35.320+01:00,   0.146E-03,   0.21784,  16.51562
   1400,2020-11-06T13:37:35.670+01:00,   0.146E-03,   0.23248,  17.89062
   1500,2020-11-06T13:37:36.050+01:00,   0.146E-03,   0.24711,  19.45312
   1600,2020-11-06T13:37:36.399+01:00,   0.146E-03,   0.26175,  20.79688
   1700,2020-11-06T13:37:36.740+01:00,   0.146E-03,   0.27638,  22.17188
   1800,2020-11-06T13:37:37.113+01:00,   0.131E-03,   0.29032,  23.67188
   1900,2020-11-06T13:37:37.479+01:00,   0.131E-03,   0.30345,  25.10938
   2000,2020-11-06T13:37:37.822+01:00,   0.131E-03,   0.31658,  26.46875
   2100,2020-11-06T13:37:38.196+01:00,   0.131E-03,   0.32970,  27.84375
   2200,2020-11-06T13:37:38.492+01:00,   0.118E-03,   0.34269,  29.03125
   2300,2020-11-06T13:37:38.918+01:00,   0.118E-03,   0.35450,  30.70312
   2400,2020-11-06T13:37:39.308+01:00,   0.118E-03,   0.36631,  32.17188
   2500,2020-11-06T13:37:39.694+01:00,   0.106E-03,   0.37713,  33.62500
   2600,2020-11-06T13:37:40.068+01:00,   0.117E-03,   0.38825,  35.04688
   2700,2020-11-06T13:37:40.520+01:00,   0.105E-03,   0.39893,  36.73438
   2800,2020-11-06T13:37:40.873+01:00,   0.105E-03,   0.40939,  38.00000
   2900,2020-11-06T13:37:41.203+01:00,   0.105E-03,   0.41986,  39.26562
   3000,2020-11-06T13:37:41.581+01:00,   0.105E-03,   0.43032,  40.67188
   3100,2020-11-06T13:37:41.932+01:00,   0.105E-03,   0.44078,  42.10938
   3200,2020-11-06T13:37:42.310+01:00,   0.102E-03,   0.45031,  43.60938
   3300,2020-11-06T13:37:42.633+01:00,   0.100E-03,   0.46023,  44.92188
   3400,2020-11-06T13:37:42.991+01:00,   0.100E-03,   0.47026,  46.26562
   3500,2020-11-06T13:37:43.351+01:00,   0.956E-04,   0.47956,  47.70312
   3600,2020-11-06T13:37:43.683+01:00,   0.916E-04,   0.48872,  49.01562
   3700,2020-11-06T13:37:44.045+01:00,   0.993E-04,   0.49831,  50.43750
   3800,2020-11-06T13:37:44.438+01:00,   0.884E-04,   0.50804,  51.95312
   3900,2020-11-06T13:37:44.773+01:00,   0.938E-04,   0.51724,  53.28125
   4000,2020-11-06T13:37:45.151+01:00,   0.103E-03,   0.52669,  54.70312
   4100,2020-11-06T13:37:45.549+01:00,   0.905E-04,   0.53606,  56.23438
   4200,2020-11-06T13:37:45.897+01:00,   0.811E-04,   0.54483,  57.67188
   4300,2020-11-06T13:37:46.257+01:00,   0.959E-04,   0.55383,  59.10938
   4400,2020-11-06T13:37:46.605+01:00,   0.936E-04,   0.56322,  60.42188
   4500,2020-11-06T13:37:46.966+01:00,   0.910E-04,   0.57288,  61.84375
   4600,2020-11-06T13:37:47.324+01:00,   0.924E-04,   0.58163,  63.26562
   4700,2020-11-06T13:37:47.699+01:00,   0.904E-04,   0.59154,  64.68750
   4800,2020-11-06T13:37:48.049+01:00,   0.980E-04,   0.60076,  66.00000
   4900,2020-11-06T13:37:48.443+01:00,   0.872E-04,   0.60982,  67.62500
   5000,2020-11-06T13:37:48.829+01:00,   0.948E-04,   0.61839,  69.06250
   5100,2020-11-06T13:37:49.196+01:00,   0.935E-04,   0.62741,  70.39062
   5200,2020-11-06T13:37:49.539+01:00,   0.904E-04,   0.63631,  71.71875
   5300,2020-11-06T13:37:49.913+01:00,   0.878E-04,   0.64510,  73.14062
   5400,2020-11-06T13:37:50.253+01:00,   0.955E-04,   0.65427,  74.45312
   5500,2020-11-06T13:37:50.585+01:00,   0.843E-04,   0.66291,  75.81250
   5600,2020-11-06T13:37:50.953+01:00,   0.928E-04,   0.67154,  77.20312
   5700,2020-11-06T13:37:51.349+01:00,   0.915E-04,   0.68053,  78.75000
   5800,2020-11-06T13:37:51.751+01:00,   0.878E-04,   0.68916,  80.31250
   5900,2020-11-06T13:37:52.083+01:00,   0.842E-04,   0.69744,  81.68750
   6000,2020-11-06T13:37:52.405+01:00,   0.842E-04,   0.70585,  82.92188
   6100,2020-11-06T13:37:52.758+01:00,   0.833E-04,   0.71433,  84.29688
   6200,2020-11-06T13:37:53.104+01:00,   0.880E-04,   0.72286,  85.64062
   6300,2020-11-06T13:37:53.489+01:00,   0.870E-04,   0.73100,  87.20312
   6400,2020-11-06T13:37:53.848+01:00,   0.674E-04,   0.73904,  88.64062
   6500,2020-11-06T13:37:54.202+01:00,   0.805E-04,   0.74706,  90.01562
   6600,2020-11-06T13:37:54.548+01:00,   0.868E-04,   0.75533,  91.35938
   6700,2020-11-06T13:37:54.934+01:00,   0.844E-04,   0.76361,  92.89062
   6800,2020-11-06T13:37:55.336+01:00,   0.844E-04,   0.77204,  94.43750
   6900,2020-11-06T13:37:55.745+01:00,   0.740E-04,   0.78015,  96.06250
   7000,2020-11-06T13:37:56.123+01:00,   0.795E-04,   0.78830,  97.53125
   7100,2020-11-06T13:37:56.516+01:00,   0.838E-04,   0.79642,  99.04688
   7200,2020-11-06T13:37:56.882+01:00,   0.828E-04,   0.80462, 100.48438
   7300,2020-11-06T13:37:57.268+01:00,   0.806E-04,   0.81271, 101.96875
   7400,2020-11-06T13:37:57.695+01:00,   0.859E-04,   0.82028, 103.71875
   7500,2020-11-06T13:37:58.083+01:00,   0.825E-04,   0.82788, 105.20312
   7600,2020-11-06T13:37:58.423+01:00,   0.797E-04,   0.83558, 106.43750
   7700,2020-11-06T13:37:58.774+01:00,   0.852E-04,   0.84370, 107.81250
   7800,2020-11-06T13:37:59.146+01:00,   0.661E-04,   0.85148, 109.29688
   7900,2020-11-06T13:37:59.502+01:00,   0.799E-04,   0.85925, 110.64062
   8000,2020-11-06T13:37:59.811+01:00,   0.751E-04,   0.86679, 111.87500
   8100,2020-11-06T13:38:00.202+01:00,   0.724E-04,   0.87460, 113.37500
   8200,2020-11-06T13:38:00.599+01:00,   0.788E-04,   0.88261, 114.98438
   8300,2020-11-06T13:38:00.988+01:00,   0.778E-04,   0.89036, 116.53125
   8400,2020-11-06T13:38:01.346+01:00,   0.714E-04,   0.89805, 117.90625
   8500,2020-11-06T13:38:01.712+01:00,   0.847E-04,   0.90569, 119.34375
   8600,2020-11-06T13:38:02.148+01:00,   0.747E-04,   0.91347, 121.01562
   8700,2020-11-06T13:38:02.543+01:00,   0.763E-04,   0.92107, 122.53125
   8800,2020-11-06T13:38:02.910+01:00,   0.763E-04,   0.92870, 124.03125
   8900,2020-11-06T13:38:03.222+01:00,   0.793E-04,   0.93648, 125.21875
   9000,2020-11-06T13:38:03.577+01:00,   0.793E-04,   0.94441, 126.64062
   9100,2020-11-06T13:38:03.925+01:00,   0.783E-04,   0.95218, 127.98438
   9200,2020-11-06T13:38:04.330+01:00,   0.736E-04,   0.95979, 129.60938
   9300,2020-11-06T13:38:04.683+01:00,   0.716E-04,   0.96723, 131.04688
   9400,2020-11-06T13:38:05.077+01:00,   0.688E-04,   0.97452, 132.60938
   9500,2020-11-06T13:38:05.479+01:00,   0.676E-04,   0.98180, 134.21875
   9600,2020-11-06T13:38:05.842+01:00,   0.785E-04,   0.98878, 135.60938
   9700,2020-11-06T13:38:06.215+01:00,   0.758E-04,   0.99586, 137.10938
   9800,2020-11-06T13:38:06.608+01:00,   0.631E-04,   1.00280, 138.56250
   9900,2020-11-06T13:38:06.956+01:00,   0.735E-04,   1.00937, 139.92188
  10000,2020-11-06T13:38:07.371+01:00,   0.716E-04,   1.01615, 141.42188
  10100,2020-11-06T13:38:07.730+01:00,   0.670E-04,   1.02289, 142.84375
  10200,2020-11-06T13:38:08.106+01:00,   0.660E-04,   1.02993, 144.34375
  10300,2020-11-06T13:38:08.458+01:00,   0.687E-04,   1.03685, 145.76562
  10400,2020-11-06T13:38:08.808+01:00,   0.790E-04,   1.04351, 147.10938
  10500,2020-11-06T13:38:09.212+01:00,   0.759E-04,   1.05073, 148.70312
  10600,2020-11-06T13:38:09.563+01:00,   0.740E-04,   1.05811, 150.06250
  10700,2020-11-06T13:38:09.920+01:00,   0.648E-04,   1.06538, 151.46875
  10800,2020-11-06T13:38:10.294+01:00,   0.676E-04,   1.07240, 152.95312
  10900,2020-11-06T13:38:10.629+01:00,   0.669E-04,   1.07883, 154.32812
  11000,2020-11-06T13:38:11.001+01:00,   0.701E-04,   1.08555, 155.76562
  11100,2020-11-06T13:38:11.381+01:00,   0.624E-04,   1.09250, 157.29688
  11200,2020-11-06T13:38:11.718+01:00,   0.680E-04,   1.09939, 158.54688
  11300,2020-11-06T13:38:12.117+01:00,   0.680E-04,   1.10618, 160.09375
  11400,2020-11-06T13:38:12.449+01:00,   0.732E-04,   1.11289, 161.39062
  11500,2020-11-06T13:38:12.856+01:00,   0.645E-04,   1.11979, 162.98438
  11600,2020-11-06T13:38:13.241+01:00,   0.780E-04,   1.12692, 164.54688
  11700,2020-11-06T13:38:13.620+01:00,   0.691E-04,   1.13389, 166.04688
  11800,2020-11-06T13:38:13.990+01:00,   0.667E-04,   1.14079, 167.53125
  11900,2020-11-06T13:38:14.403+01:00,   0.634E-04,   1.14745, 169.14062
  12000,2020-11-06T13:38:15.036+01:00,   0.698E-04,   1.15432, 171.34375
  12100,2020-11-06T13:38:15.531+01:00,   0.603E-04,   1.16091, 172.98438
  12200,2020-11-06T13:38:15.903+01:00,   0.683E-04,   1.16733, 174.35938
  12300,2020-11-06T13:38:16.304+01:00,   0.657E-04,   1.17424, 175.96875
  12400,2020-11-06T13:38:16.662+01:00,   0.705E-04,   1.18102, 177.40625
  12500,2020-11-06T13:38:17.019+01:00,   0.604E-04,   1.18726, 178.82812
  12600,2020-11-06T13:38:17.394+01:00,   0.664E-04,   1.19362, 180.31250
  12700,2020-11-06T13:38:17.760+01:00,   0.664E-04,   1.20026, 181.73438
  12800,2020-11-06T13:38:18.134+01:00,   0.664E-04,   1.20691, 183.18750
  12900,2020-11-06T13:38:18.484+01:00,   0.701E-04,   1.21371, 184.54688
  13000,2020-11-06T13:38:18.859+01:00,   0.676E-04,   1.22031, 186.04688
  13100,2020-11-06T13:38:19.235+01:00,   0.662E-04,   1.22659, 187.53125
  13200,2020-11-06T13:38:19.570+01:00,   0.702E-04,   1.23329, 188.79688
  13300,2020-11-06T13:38:19.888+01:00,   0.616E-04,   1.23992, 190.00000
  13400,2020-11-06T13:38:20.264+01:00,   0.713E-04,   1.24657, 191.50000
  13500,2020-11-06T13:38:20.648+01:00,   0.610E-04,   1.25300, 192.96875
  13600,2020-11-06T13:38:21.043+01:00,   0.632E-04,   1.25938, 194.42188
  13700,2020-11-06T13:38:21.428+01:00,   0.576E-04,   1.26598, 195.98438
  13800,2020-11-06T13:38:21.767+01:00,   0.604E-04,   1.27203, 197.25000
  13900,2020-11-06T13:38:22.101+01:00,   0.695E-04,   1.27867, 198.50000
  14000,2020-11-06T13:38:22.474+01:00,   0.668E-04,   1.28523, 199.96875
  14100,2020-11-06T13:38:22.823+01:00,   0.651E-04,   1.29184, 201.34375
  14200,2020-11-06T13:38:23.232+01:00,   0.651E-04,   1.29835, 202.89062
  14300,2020-11-06T13:38:23.581+01:00,   0.662E-04,   1.30474, 204.21875
  14400,2020-11-06T13:38:23.964+01:00,   0.616E-04,   1.31097, 205.78125
  14500,2020-11-06T13:38:24.352+01:00,   0.647E-04,   1.31728, 207.17188
  14600,2020-11-06T13:38:24.703+01:00,   0.554E-04,   1.32376, 208.51562
  14700,2020-11-06T13:38:25.037+01:00,   0.603E-04,   1.32983, 209.89062
  14800,2020-11-06T13:38:25.451+01:00,   0.664E-04,   1.33609, 211.42188
  14900,2020-11-06T13:38:25.779+01:00,   0.571E-04,   1.34227, 212.73438
  15000,2020-11-06T13:38:26.183+01:00,   0.605E-04,   1.34841, 214.31250
  15100,2020-11-06T13:38:26.553+01:00,   0.621E-04,   1.35445, 215.79688
  15200,2020-11-06T13:38:26.918+01:00,   0.667E-04,   1.36064, 217.15625
  15300,2020-11-06T13:38:27.285+01:00,   0.681E-04,   1.36667, 218.64062
  15400,2020-11-06T13:38:27.610+01:00,   0.665E-04,   1.37334, 219.82812
  15500,2020-11-06T13:38:27.939+01:00,   0.655E-04,   1.37987, 221.10938
  15600,2020-11-06T13:38:28.312+01:00,   0.631E-04,   1.38649, 222.59375
  15700,2020-11-06T13:38:28.690+01:00,   0.695E-04,   1.39298, 224.09375
  15800,2020-11-06T13:38:29.058+01:00,   0.625E-04,   1.39924, 225.57812
  15900,2020-11-06T13:38:29.412+01:00,   0.625E-04,   1.40548, 227.00000
  16000,2020-11-06T13:38:29.745+01:00,   0.595E-04,   1.41162, 228.29688
  16100,2020-11-06T13:38:30.109+01:00,   0.643E-04,   1.41780, 229.71875
  16200,2020-11-06T13:38:30.470+01:00,   0.612E-04,   1.42399, 231.15625
  16300,2020-11-06T13:38:30.881+01:00,   0.640E-04,   1.42992, 232.78125
  16400,2020-11-06T13:38:31.288+01:00,   0.605E-04,   1.43586, 234.39062
  16500,2020-11-06T13:38:31.643+01:00,   0.509E-04,   1.44161, 235.76562
  16600,2020-11-06T13:38:31.997+01:00,   0.661E-04,   1.44756, 237.18750
  16700,2020-11-06T13:38:32.352+01:00,   0.620E-04,   1.45344, 238.51562
  16800,2020-11-06T13:38:32.714+01:00,   0.586E-04,   1.45941, 239.93750
  16900,2020-11-06T13:38:33.089+01:00,   0.618E-04,   1.46537, 241.42188
  17000,2020-11-06T13:38:33.451+01:00,   0.659E-04,   1.47123, 242.78125
  17100,2020-11-06T13:38:33.816+01:00,   0.575E-04,   1.47717, 244.20312
  17200,2020-11-06T13:38:34.160+01:00,   0.625E-04,   1.48333, 245.54688
  17300,2020-11-06T13:38:34.583+01:00,   0.615E-04,   1.48943, 247.23438
  17400,2020-11-06T13:38:34.948+01:00,   0.602E-04,   1.49561, 248.65625
  17500,2020-11-06T13:38:35.309+01:00,   0.527E-04,   1.50119, 250.04688
  17600,2020-11-06T13:38:35.699+01:00,   0.553E-04,   1.50711, 251.51562
  17700,2020-11-06T13:38:36.034+01:00,   0.608E-04,   1.51310, 252.81250
  17800,2020-11-06T13:38:36.396+01:00,   0.602E-04,   1.51933, 254.31250
  17900,2020-11-06T13:38:36.738+01:00,   0.641E-04,   1.52547, 255.62500
  18000,2020-11-06T13:38:37.118+01:00,   0.617E-04,   1.53161, 256.96875
  18100,2020-11-06T13:38:37.484+01:00,   0.605E-04,   1.53761, 258.37500
  18200,2020-11-06T13:38:37.830+01:00,   0.615E-04,   1.54316, 259.75000
  18300,2020-11-06T13:38:38.181+01:00,   0.553E-04,   1.54925, 261.17188
  18400,2020-11-06T13:38:38.608+01:00,   0.650E-04,   1.55524, 262.75000
  18500,2020-11-06T13:38:38.971+01:00,   0.561E-04,   1.56149, 264.15625
  18600,2020-11-06T13:38:39.352+01:00,   0.640E-04,   1.56735, 265.71875
  18700,2020-11-06T13:38:39.748+01:00,   0.632E-04,   1.57360, 267.26562
  18800,2020-11-06T13:38:40.102+01:00,   0.572E-04,   1.57946, 268.62500
  18900,2020-11-06T13:38:40.448+01:00,   0.557E-04,   1.58527, 269.98438
  19000,2020-11-06T13:38:40.815+01:00,   0.601E-04,   1.59117, 271.35938
  19100,2020-11-06T13:38:41.193+01:00,   0.586E-04,   1.59714, 272.90625
  19200,2020-11-06T13:38:41.534+01:00,   0.637E-04,   1.60300, 274.28125
  19300,2020-11-06T13:38:41.917+01:00,   0.547E-04,   1.60889, 275.76562
  19400,2020-11-06T13:38:42.293+01:00,   0.595E-04,   1.61491, 277.25000
  19500,2020-11-06T13:38:42.676+01:00,   0.595E-04,   1.62086, 278.79688
  19600,2020-11-06T13:38:43.065+01:00,   0.587E-04,   1.62679, 280.28125
  19700,2020-11-06T13:38:43.394+01:00,   0.578E-04,   1.63251, 281.65625
  19800,2020-11-06T13:38:43.720+01:00,   0.540E-04,   1.63811, 282.90625
  19900,2020-11-06T13:38:44.060+01:00,   0.531E-04,   1.64388, 284.18750
  20000,2020-11-06T13:38:44.418+01:00,   0.624E-04,   1.64946, 285.60938
  20100,2020-11-06T13:38:44.793+01:00,   0.584E-04,   1.65510, 287.10938
  20200,2020-11-06T13:38:45.151+01:00,   0.565E-04,   1.66090, 288.50000
  20300,2020-11-06T13:38:45.531+01:00,   0.646E-04,   1.66657, 289.96875
  20400,2020-11-06T13:38:45.923+01:00,   0.622E-04,   1.67235, 291.51562
  20500,2020-11-06T13:38:46.294+01:00,   0.540E-04,   1.67778, 292.96875
  20600,2020-11-06T13:38:46.664+01:00,   0.521E-04,   1.68361, 294.46875
  20700,2020-11-06T13:38:46.998+01:00,   0.555E-04,   1.68901, 295.78125
  20800,2020-11-06T13:38:47.378+01:00,   0.589E-04,   1.69466, 297.23438
  20900,2020-11-06T13:38:47.737+01:00,   0.580E-04,   1.70043, 298.65625
  21000,2020-11-06T13:38:48.133+01:00,   0.566E-04,   1.70621, 300.26562
  21100,2020-11-06T13:38:48.522+01:00,   0.609E-04,   1.71193, 301.81250
  21200,2020-11-06T13:38:48.895+01:00,   0.598E-04,   1.71758, 303.31250
  21300,2020-11-06T13:38:49.253+01:00,   0.582E-04,   1.72345, 304.70312
  21400,2020-11-06T13:38:49.593+01:00,   0.565E-04,   1.72910, 306.00000
  21500,2020-11-06T13:38:49.957+01:00,   0.565E-04,   1.73475, 307.46875
  21600,2020-11-06T13:38:50.306+01:00,   0.533E-04,   1.74047, 308.82812
  21700,2020-11-06T13:38:50.673+01:00,   0.533E-04,   1.74581, 310.20312
  21800,2020-11-06T13:38:51.087+01:00,   0.567E-04,   1.75131, 311.89062
  21900,2020-11-06T13:38:51.475+01:00,   0.538E-04,   1.75689, 313.35938
  22000,2020-11-06T13:38:51.870+01:00,   0.523E-04,   1.76244, 314.85938
  22100,2020-11-06T13:38:52.256+01:00,   0.576E-04,   1.76812, 316.42188
  22200,2020-11-06T13:38:52.604+01:00,   0.505E-04,   1.77354, 317.76562
  22300,2020-11-06T13:38:52.962+01:00,   0.650E-04,   1.77912, 319.20312
  22400,2020-11-06T13:38:53.495+01:00,   0.565E-04,   1.78490, 321.01562
  22500,2020-11-06T13:38:54.469+01:00,   0.518E-04,   1.79040, 322.89062
  22600,2020-11-06T13:38:54.856+01:00,   0.498E-04,   1.79600, 324.43750
  22700,2020-11-06T13:38:55.203+01:00,   0.637E-04,   1.80145, 325.81250
  22800,2020-11-06T13:38:55.660+01:00,   0.541E-04,   1.80714, 327.48438
  22900,2020-11-06T13:38:56.054+01:00,   0.534E-04,   1.81293, 329.00000
  23000,2020-11-06T13:38:56.465+01:00,   0.574E-04,   1.81846, 330.62500
  23100,2020-11-06T13:38:56.883+01:00,   0.547E-04,   1.82403, 332.20312
  23200,2020-11-06T13:38:57.252+01:00,   0.504E-04,   1.82965, 333.62500
  23300,2020-11-06T13:38:57.646+01:00,   0.528E-04,   1.83505, 335.25000
  23400,2020-11-06T13:38:58.026+01:00,   0.580E-04,   1.84039, 336.70312
  23500,2020-11-06T13:38:58.384+01:00,   0.564E-04,   1.84595, 338.03125
  23600,2020-11-06T13:38:58.758+01:00,   0.564E-04,   1.85159, 339.50000
  23700,2020-11-06T13:38:59.159+01:00,   0.457E-04,   1.85696, 341.06250
  23800,2020-11-06T13:38:59.540+01:00,   0.521E-04,   1.86205, 342.56250
  23900,2020-11-06T13:38:59.919+01:00,   0.610E-04,   1.86752, 344.01562
  24000,2020-11-06T13:39:00.300+01:00,   0.577E-04,   1.87296, 345.48438
  24100,2020-11-06T13:39:00.704+01:00,   0.547E-04,   1.87833, 347.00000
  24200,2020-11-06T13:39:01.067+01:00,   0.584E-04,   1.88359, 348.46875
  24300,2020-11-06T13:39:01.462+01:00,   0.551E-04,   1.88911, 349.98438
  24400,2020-11-06T13:39:01.845+01:00,   0.539E-04,   1.89455, 351.46875
  24500,2020-11-06T13:39:02.218+01:00,   0.521E-04,   1.89992, 352.89062
  24600,2020-11-06T13:39:02.602+01:00,   0.447E-04,   1.90520, 354.37500
  24700,2020-11-06T13:39:02.974+01:00,   0.508E-04,   1.91057, 355.87500
  24800,2020-11-06T13:39:03.360+01:00,   0.479E-04,   1.91599, 357.37500
  24900,2020-11-06T13:39:03.702+01:00,   0.580E-04,   1.92151, 358.75000
  25000,2020-11-06T13:39:04.043+01:00,   0.563E-04,   1.92701, 359.98438
  25100,2020-11-06T13:39:04.407+01:00,   0.497E-04,   1.93242, 361.37500
  25200,2020-11-06T13:39:04.782+01:00,   0.490E-04,   1.93728, 362.87500
  25300,2020-11-06T13:39:05.141+01:00,   0.503E-04,   1.94225, 364.23438
  25400,2020-11-06T13:39:05.508+01:00,   0.547E-04,   1.94746, 365.67188
  25500,2020-11-06T13:39:05.877+01:00,   0.440E-04,   1.95254, 367.09375
  25600,2020-11-06T13:39:06.269+01:00,   0.511E-04,   1.95767, 368.65625
  25700,2020-11-06T13:39:06.636+01:00,   0.511E-04,   1.96278, 370.03125
  25800,2020-11-06T13:39:07.005+01:00,   0.544E-04,   1.96801, 371.50000
  25900,2020-11-06T13:39:07.342+01:00,   0.525E-04,   1.97337, 372.81250
  26000,2020-11-06T13:39:07.717+01:00,   0.553E-04,   1.97881, 374.31250
  26100,2020-11-06T13:39:08.109+01:00,   0.505E-04,   1.98405, 375.81250
  26200,2020-11-06T13:39:08.469+01:00,   0.489E-04,   1.98924, 377.17188
  26300,2020-11-06T13:39:08.864+01:00,   0.479E-04,   1.99436, 378.78125
  26400,2020-11-06T13:39:09.218+01:00,   0.527E-04,   1.99962, 380.14062
  26500,2020-11-06T13:39:09.652+01:00,   0.447E-04,   2.00465, 381.78125
  26600,2020-11-06T13:39:10.077+01:00,   0.573E-04,   2.00950, 383.39062
  26700,2020-11-06T13:39:10.485+01:00,   0.509E-04,   2.01446, 384.95312
  26800,2020-11-06T13:39:10.920+01:00,   0.516E-04,   2.01938, 386.68750
  26900,2020-11-06T13:39:11.294+01:00,   0.502E-04,   2.02443, 388.18750
  27000,2020-11-06T13:39:11.654+01:00,   0.431E-04,   2.02923, 389.50000
  27100,2020-11-06T13:39:12.013+01:00,   0.574E-04,   2.03448, 390.84375
  27200,2020-11-06T13:39:12.403+01:00,   0.488E-04,   2.03940, 392.39062
  27300,2020-11-06T13:39:12.784+01:00,   0.527E-04,   2.04460, 393.95312
  27400,2020-11-06T13:39:13.141+01:00,   0.507E-04,   2.05000, 395.32812
  27500,2020-11-06T13:39:13.506+01:00,   0.507E-04,   2.05507, 396.82812
  27600,2020-11-06T13:39:13.858+01:00,   0.480E-04,   2.06041, 398.12500
  27700,2020-11-06T13:39:14.229+01:00,   0.540E-04,   2.06552, 399.56250
  27800,2020-11-06T13:39:14.635+01:00,   0.412E-04,   2.07084, 401.18750
  27900,2020-11-06T13:39:14.980+01:00,   0.537E-04,   2.07549, 402.56250
  28000,2020-11-06T13:39:15.345+01:00,   0.522E-04,   2.08070, 403.98438
  28100,2020-11-06T13:39:15.699+01:00,   0.554E-04,   2.08599, 405.39062
  28200,2020-11-06T13:39:16.112+01:00,   0.474E-04,   2.09118, 407.01562
  28300,2020-11-06T13:39:16.513+01:00,   0.551E-04,   2.09642, 408.64062
  28400,2020-11-06T13:39:16.900+01:00,   0.491E-04,   2.10173, 410.20312
  28500,2020-11-06T13:39:17.317+01:00,   0.467E-04,   2.10679, 411.79688
  28600,2020-11-06T13:39:17.676+01:00,   0.514E-04,   2.11193, 413.21875
  28700,2020-11-06T13:39:18.033+01:00,   0.482E-04,   2.11673, 414.51562
  28800,2020-11-06T13:39:18.390+01:00,   0.463E-04,   2.12153, 415.92188
  28900,2020-11-06T13:39:18.749+01:00,   0.491E-04,   2.12634, 417.35938
  29000,2020-11-06T13:39:19.141+01:00,   0.480E-04,   2.13128, 418.89062
  29100,2020-11-06T13:39:19.481+01:00,   0.528E-04,   2.13641, 420.25000
  29200,2020-11-06T13:39:19.849+01:00,   0.509E-04,   2.14152, 421.73438
  29300,2020-11-06T13:39:20.182+01:00,   0.482E-04,   2.14628, 423.00000
  29400,2020-11-06T13:39:20.547+01:00,   0.537E-04,   2.15112, 424.25000
  29500,2020-11-06T13:39:20.958+01:00,   0.469E-04,   2.15599, 425.78125
  29600,2020-11-06T13:39:21.334+01:00,   0.516E-04,   2.16107, 427.28125
  29700,2020-11-06T13:39:21.698+01:00,   0.457E-04,   2.16601, 428.71875
  29800,2020-11-06T13:39:22.062+01:00,   0.433E-04,   2.17076, 430.06250
  29900,2020-11-06T13:39:22.450+01:00,   0.507E-04,   2.17554, 431.53125
  30000,2020-11-06T13:39:22.816+01:00,   0.494E-04,   2.18065, 433.00000
  30100,2020-11-06T13:39:23.176+01:00,   0.461E-04,   2.18547, 434.42188
  30200,2020-11-06T13:39:23.566+01:00,   0.431E-04,   2.18997, 435.98438
  30300,2020-11-06T13:39:23.914+01:00,   0.508E-04,   2.19476, 437.35938
  30400,2020-11-06T13:39:24.271+01:00,   0.521E-04,   2.19988, 438.78125
  30500,2020-11-06T13:39:24.643+01:00,   0.438E-04,   2.20478, 440.20312
  30600,2020-11-06T13:39:24.986+01:00,   0.457E-04,   2.20964, 441.57812
  30700,2020-11-06T13:39:25.338+01:00,   0.503E-04,   2.21462, 443.00000
