s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.5103951E+000, 1.2190640E+001,-2.7975500E+000, 1.4133516E-001,-7.1213735E-002, 2.5383713E-003, 0.0000000E+000, 0.0000000E+000, 9.1118230E+000, 9.4657502E+000, 6.4846189E-004, 6.4846189E-004
 2.7386129E+000, 1.2301980E+001,-4.9161291E+000, 1.0671941E-001,-7.2561965E-002, 2.5501574E-003, 0.0000000E+000, 0.0000000E+000, 9.4812511E+000, 7.4225582E+000, 6.5160606E-004, 6.5160606E-004
 2.9261136E+000, 1.3342513E+001,-4.2902232E+000, 1.3451392E-001,-7.6229206E-002, 2.5527168E-003, 0.0000000E+000, 0.0000000E+000, 7.4386355E+000, 9.1131275E+000, 6.5331215E-004, 6.5331215E-004
 3.0935113E+000, 1.3395707E+001,-3.2507005E+000, 1.5184060E-001,-8.5942298E-002, 2.5503326E-003, 0.0000000E+000, 0.0000000E+000, 9.1258486E+000, 1.0213455E+001, 6.5438127E-004, 6.5438127E-004
 3.2609088E+000, 1.2903257E+001,-3.2387526E+000, 1.4214405E-001,-9.6767570E-002, 2.5463401E-003, 0.0000000E+000, 0.0000000E+000, 1.0226791E+001, 9.7124268E+000, 6.5514728E-004, 6.5514728E-004
 3.4093735E+000, 1.3180783E+001,-2.8853541E+000, 1.5094184E-001,-1.0415435E-001, 2.5443984E-003, 0.0000000E+000, 0.0000000E+000, 9.7286675E+000, 1.0344761E+001, 6.5564263E-004, 6.5564263E-004
 3.5578380E+000, 1.2841014E+001,-3.3867060E+000, 1.3454841E-001,-1.1186592E-001, 2.5453776E-003, 0.0000000E+000, 0.0000000E+000, 1.0361628E+001, 9.4795364E+000, 6.5601096E-004, 6.5601096E-004
 3.7063024E+000, 1.2668202E+001,-3.5144815E+000, 1.2732951E-001,-1.1523385E-001, 2.5497676E-003, 0.0000000E+000, 0.0000000E+000, 9.4995558E+000, 9.1683655E+000, 6.5628481E-004, 6.5628481E-004
 3.8313391E+000, 1.3196214E+001,-3.3861129E+000, 1.3603609E-001,-1.1655468E-001, 2.5542740E-003, 0.0000000E+000, 0.0000000E+000, 9.1911015E+000, 9.8321366E+000, 6.5646012E-004, 6.5646012E-004
 3.9563756E+000, 1.2895921E+001,-3.4641450E+000, 1.2630689E-001,-1.1941239E-001, 2.5579108E-003, 0.0000000E+000, 0.0000000E+000, 9.8564088E+000, 9.4412283E+000, 6.5659668E-004, 6.5659668E-004
